component,location,carrier,0
Generator,AT0 0,onwind,240.00002
Generator,AT0 0,ror,19.0
Generator,AT0 0,rural heat vent,542.7939
Generator,AT0 0,rural solar thermal,2e-05
Generator,AT0 0,solar,114.44131
Generator,AT0 0,solar rooftop,5e-05
Generator,AT0 0,solar-hsat,4e-05
Generator,AT0 0,urban central heat vent,296.00792
Generator,AT0 0,urban central solar thermal,2e-05
Generator,AT0 0,urban decentral heat vent,188.22905
Generator,AT0 0,urban decentral solar thermal,2e-05
Generator,AT0 1,onwind,0.0
Generator,AT0 1,ror,178.0
Generator,AT0 1,rural heat vent,151.88658
Generator,AT0 1,rural solar thermal,2e-05
Generator,AT0 1,solar,123.59514
Generator,AT0 1,solar rooftop,5e-05
Generator,AT0 1,solar-hsat,4e-05
Generator,AT0 1,urban central heat vent,1541.94076
Generator,AT0 1,urban central solar thermal,3e-05
Generator,AT0 1,urban decentral heat vent,30.6321
Generator,AT0 1,urban decentral solar thermal,2e-05
Generator,AT0 10,onwind,20.0
Generator,AT0 10,ror,328.0
Generator,AT0 10,rural heat vent,92.2512
Generator,AT0 10,rural solar thermal,1e-05
Generator,AT0 10,solar,91.63845
Generator,AT0 10,solar rooftop,5e-05
Generator,AT0 10,solar-hsat,4e-05
Generator,AT0 10,urban central heat vent,272.27172
Generator,AT0 10,urban central solar thermal,2e-05
Generator,AT0 10,urban decentral heat vent,297.91149
Generator,AT0 10,urban decentral solar thermal,1e-05
Generator,AT0 11,onwind,0.0
Generator,AT0 11,ror,67.0
Generator,AT0 11,rural heat vent,304.3991
Generator,AT0 11,rural solar thermal,2e-05
Generator,AT0 11,solar,91.86193
Generator,AT0 11,solar rooftop,5e-05
Generator,AT0 11,solar-hsat,4e-05
Generator,AT0 11,urban central heat vent,460.46492
Generator,AT0 11,urban central solar thermal,2e-05
Generator,AT0 11,urban decentral heat vent,0.73459
Generator,AT0 11,urban decentral solar thermal,1e-05
Generator,AT0 12,onwind,593.0
Generator,AT0 12,ror,177.0
Generator,AT0 12,rural heat vent,34.06972
Generator,AT0 12,rural solar thermal,1e-05
Generator,AT0 12,solar,41.76707
Generator,AT0 12,solar rooftop,5e-05
Generator,AT0 12,solar-hsat,4e-05
Generator,AT0 12,urban central heat vent,1993.03775
Generator,AT0 12,urban central solar thermal,2e-05
Generator,AT0 12,urban decentral heat vent,527.5915
Generator,AT0 12,urban decentral solar thermal,1e-05
Generator,AT0 13,onwind,50.00001
Generator,AT0 13,ror,60.0
Generator,AT0 13,rural heat vent,332.85357
Generator,AT0 13,rural solar thermal,2e-05
Generator,AT0 13,solar,48.87714
Generator,AT0 13,solar rooftop,5e-05
Generator,AT0 13,solar-hsat,4e-05
Generator,AT0 13,urban central heat vent,690.52081
Generator,AT0 13,urban central solar thermal,3e-05
Generator,AT0 13,urban decentral heat vent,35.88037
Generator,AT0 13,urban decentral solar thermal,2e-05
Generator,AT0 14,onwind,32.0
Generator,AT0 14,ror,423.5
Generator,AT0 14,rural heat vent,496.77532
Generator,AT0 14,rural solar thermal,1e-05
Generator,AT0 14,solar,71.46567
Generator,AT0 14,solar rooftop,5e-05
Generator,AT0 14,solar-hsat,4e-05
Generator,AT0 14,urban decentral heat vent,70.73742
Generator,AT0 14,urban decentral solar thermal,1e-05
Generator,AT0 15,onwind,26.0
Generator,AT0 15,ror,273.0
Generator,AT0 15,rural heat vent,194.53809
Generator,AT0 15,rural solar thermal,1e-05
Generator,AT0 15,solar,38.55617
Generator,AT0 15,solar rooftop,4e-05
Generator,AT0 15,solar-hsat,4e-05
Generator,AT0 15,urban decentral heat vent,137.68734
Generator,AT0 15,urban decentral solar thermal,1e-05
Generator,AT0 16,onwind,0.0
Generator,AT0 16,ror,80.0
Generator,AT0 16,rural heat vent,969.598
Generator,AT0 16,rural solar thermal,2e-05
Generator,AT0 16,solar,97.94145
Generator,AT0 16,solar rooftop,4e-05
Generator,AT0 16,solar-hsat,4e-05
Generator,AT0 16,urban decentral heat vent,11.02891
Generator,AT0 16,urban decentral solar thermal,2e-05
Generator,AT0 17,onwind,58.0
Generator,AT0 17,rural heat vent,933.96578
Generator,AT0 17,rural solar thermal,1e-05
Generator,AT0 17,solar,80.4202
Generator,AT0 17,solar rooftop,5e-05
Generator,AT0 17,solar-hsat,4e-05
Generator,AT0 17,urban decentral heat vent,0.86086
Generator,AT0 17,urban decentral solar thermal,1e-05
Generator,AT0 18,onwind,0.0
Generator,AT0 18,ror,283.08037
Generator,AT0 18,rural heat vent,182.70419
Generator,AT0 18,rural solar thermal,2e-05
Generator,AT0 18,solar,55.79715
Generator,AT0 18,solar rooftop,5e-05
Generator,AT0 18,solar-hsat,4e-05
Generator,AT0 18,urban central heat vent,583.37019
Generator,AT0 18,urban central solar thermal,2e-05
Generator,AT0 18,urban decentral heat vent,49.08919
Generator,AT0 18,urban decentral solar thermal,1e-05
Generator,AT0 19,onwind,1e-05
Generator,AT0 19,ror,152.0
Generator,AT0 19,rural heat vent,127.24577
Generator,AT0 19,rural solar thermal,1e-05
Generator,AT0 19,solar,80.25434
Generator,AT0 19,solar rooftop,5e-05
Generator,AT0 19,solar-hsat,4e-05
Generator,AT0 19,urban central heat vent,377.13122
Generator,AT0 19,urban central solar thermal,2e-05
Generator,AT0 19,urban decentral heat vent,255.51171
Generator,AT0 19,urban decentral solar thermal,1e-05
Generator,AT0 2,onwind,1213.0
Generator,AT0 2,rural heat vent,104.42366
Generator,AT0 2,rural solar thermal,1e-05
Generator,AT0 2,solar,196.6754
Generator,AT0 2,solar rooftop,5e-05
Generator,AT0 2,solar-hsat,4e-05
Generator,AT0 2,urban central heat vent,216.96581
Generator,AT0 2,urban central solar thermal,2e-05
Generator,AT0 2,urban decentral heat vent,253.88328
Generator,AT0 2,urban decentral solar thermal,1e-05
Generator,AT0 20,onwind,15.0
Generator,AT0 20,ror,257.0
Generator,AT0 20,rural heat vent,144.7492
Generator,AT0 20,rural solar thermal,1e-05
Generator,AT0 20,solar,46.7846
Generator,AT0 20,solar rooftop,4e-05
Generator,AT0 20,solar-hsat,4e-05
Generator,AT0 20,urban central heat vent,113.28015
Generator,AT0 20,urban central solar thermal,2e-05
Generator,AT0 20,urban decentral heat vent,41.92848
Generator,AT0 20,urban decentral solar thermal,1e-05
Generator,AT0 21,onwind,0.0
Generator,AT0 21,rural heat vent,101.01911
Generator,AT0 21,rural solar thermal,2e-05
Generator,AT0 21,solar,29.40229
Generator,AT0 21,solar rooftop,4e-05
Generator,AT0 21,solar-hsat,4e-05
Generator,AT0 21,urban central heat vent,411.10414
Generator,AT0 21,urban central solar thermal,2e-05
Generator,AT0 21,urban decentral heat vent,57.31836
Generator,AT0 21,urban decentral solar thermal,1e-05
Generator,AT0 22,onwind,39.0
Generator,AT0 22,rural heat vent,402.75778
Generator,AT0 22,rural solar thermal,1e-05
Generator,AT0 22,solar,45.77559
Generator,AT0 22,solar rooftop,4e-05
Generator,AT0 22,solar-hsat,4e-05
Generator,AT0 22,urban decentral heat vent,0.55128
Generator,AT0 22,urban decentral solar thermal,1e-05
Generator,AT0 23,onwind,824.0
Generator,AT0 23,ror,299.5
Generator,AT0 23,rural heat vent,0.00667
Generator,AT0 23,rural solar thermal,1e-05
Generator,AT0 23,solar,171.51988
Generator,AT0 23,solar rooftop,6e-05
Generator,AT0 23,solar-hsat,4e-05
Generator,AT0 23,urban central heat vent,0.00483
Generator,AT0 23,urban central solar thermal,2e-05
