cost,component,location,carrier,0
capital,Generator,AT0 0,onwind,27772759.38995
capital,Generator,AT0 0,ror,5855237.06617
capital,Generator,AT0 0,rural heat vent,0.0
capital,Generator,AT0 0,rural solar thermal,0.42305
capital,Generator,AT0 0,solar,5992041.52102
capital,Generator,AT0 0,solar rooftop,2.47213
capital,Generator,AT0 0,solar-hsat,2.4873
capital,Generator,AT0 0,urban central heat vent,0.0
capital,Generator,AT0 0,urban central solar thermal,0.39129
capital,Generator,AT0 0,urban decentral heat vent,0.0
capital,Generator,AT0 0,urban decentral solar thermal,0.41166
capital,Generator,AT0 1,onwind,0.34431
capital,Generator,AT0 1,ror,54854326.19882
capital,Generator,AT0 1,rural heat vent,0.0
capital,Generator,AT0 1,rural solar thermal,0.45195
capital,Generator,AT0 1,solar,6471327.86178
capital,Generator,AT0 1,solar rooftop,2.05615
capital,Generator,AT0 1,solar-hsat,2.50647
capital,Generator,AT0 1,urban central heat vent,0.0
capital,Generator,AT0 1,urban central solar thermal,0.42724
capital,Generator,AT0 1,urban decentral heat vent,0.0
capital,Generator,AT0 1,urban decentral solar thermal,0.43815
capital,Generator,AT0 10,onwind,2314396.69409
capital,Generator,AT0 10,ror,101079881.98433
capital,Generator,AT0 10,rural heat vent,0.0
capital,Generator,AT0 10,rural solar thermal,0.38818
capital,Generator,AT0 10,solar,4798104.81654
capital,Generator,AT0 10,solar rooftop,2.44647
capital,Generator,AT0 10,solar-hsat,2.48079
capital,Generator,AT0 10,urban central heat vent,0.0
capital,Generator,AT0 10,urban central solar thermal,0.37654
capital,Generator,AT0 10,urban decentral heat vent,0.0
capital,Generator,AT0 10,urban decentral solar thermal,0.37451
capital,Generator,AT0 11,onwind,0.45963
capital,Generator,AT0 11,ror,20647414.91753
capital,Generator,AT0 11,rural heat vent,0.0
capital,Generator,AT0 11,rural solar thermal,0.4163
capital,Generator,AT0 11,solar,4809806.25889
capital,Generator,AT0 11,solar rooftop,2.15946
capital,Generator,AT0 11,solar-hsat,2.50725
capital,Generator,AT0 11,urban central heat vent,0.0
capital,Generator,AT0 11,urban central solar thermal,0.39641
capital,Generator,AT0 11,urban decentral heat vent,0.0
capital,Generator,AT0 11,urban decentral solar thermal,0.40292
capital,Generator,AT0 12,onwind,68621854.60187
capital,Generator,AT0 12,ror,54546155.82691
capital,Generator,AT0 12,rural heat vent,0.0
capital,Generator,AT0 12,rural solar thermal,0.38041
capital,Generator,AT0 12,solar,2186885.55686
capital,Generator,AT0 12,solar rooftop,2.36316
capital,Generator,AT0 12,solar-hsat,2.44533
capital,Generator,AT0 12,urban central heat vent,0.0
capital,Generator,AT0 12,urban central solar thermal,0.35824
capital,Generator,AT0 12,urban decentral heat vent,0.0
capital,Generator,AT0 12,urban decentral solar thermal,0.36818
capital,Generator,AT0 13,onwind,5785991.78916
capital,Generator,AT0 13,ror,18490222.31421
capital,Generator,AT0 13,rural heat vent,0.0
capital,Generator,AT0 13,rural solar thermal,0.4349
capital,Generator,AT0 13,solar,2559162.13245
capital,Generator,AT0 13,solar rooftop,2.23849
capital,Generator,AT0 13,solar-hsat,2.53948
capital,Generator,AT0 13,urban central heat vent,0.0
capital,Generator,AT0 13,urban central solar thermal,0.41826
capital,Generator,AT0 13,urban decentral heat vent,0.0
capital,Generator,AT0 13,urban decentral solar thermal,0.42595
capital,Generator,AT0 14,onwind,3703034.45731
capital,Generator,AT0 14,ror,130510152.50111
capital,Generator,AT0 14,rural heat vent,0.0
capital,Generator,AT0 14,rural solar thermal,0.37589
capital,Generator,AT0 14,solar,3741876.87714
capital,Generator,AT0 14,solar rooftop,2.18591
capital,Generator,AT0 14,solar-hsat,2.48896
capital,Generator,AT0 14,urban decentral heat vent,0.0
capital,Generator,AT0 14,urban decentral solar thermal,0.36084
capital,Generator,AT0 15,onwind,3008715.38274
capital,Generator,AT0 15,ror,84130511.52964
capital,Generator,AT0 15,rural heat vent,0.0
capital,Generator,AT0 15,rural solar thermal,0.3841
capital,Generator,AT0 15,solar,2018765.77366
capital,Generator,AT0 15,solar rooftop,1.76072
capital,Generator,AT0 15,solar-hsat,2.48835
capital,Generator,AT0 15,urban decentral heat vent,0.0
capital,Generator,AT0 15,urban decentral solar thermal,0.37177
capital,Generator,AT0 16,onwind,0.25276
capital,Generator,AT0 16,ror,24653629.75228
capital,Generator,AT0 16,rural heat vent,0.0
capital,Generator,AT0 16,rural solar thermal,0.42883
capital,Generator,AT0 16,solar,5128124.37959
capital,Generator,AT0 16,solar rooftop,1.92583
capital,Generator,AT0 16,solar-hsat,2.48933
capital,Generator,AT0 16,urban decentral heat vent,0.0
