component,location,carrier,0
Load,AT0 0,H2 for industry,
Load,AT0 0,agriculture electricity,
Load,AT0 0,agriculture heat,
Load,AT0 0,electricity,
Load,AT0 0,industry electricity,
Load,AT0 0,land transport EV,
Load,AT0 0,low-temperature heat for industry,
Load,AT0 0,rural heat,
Load,AT0 0,urban central heat,
Load,AT0 0,urban decentral heat,
Load,AT0 1,H2 for industry,
Load,AT0 1,agriculture electricity,
Load,AT0 1,agriculture heat,
Load,AT0 1,electricity,
Load,AT0 1,industry electricity,
Load,AT0 1,land transport EV,
Load,AT0 1,low-temperature heat for industry,
Load,AT0 1,rural heat,
Load,AT0 1,urban central heat,
Load,AT0 1,urban decentral heat,
Load,AT0 10,H2 for industry,
Load,AT0 10,agriculture electricity,
Load,AT0 10,agriculture heat,
Load,AT0 10,electricity,
Load,AT0 10,industry electricity,
Load,AT0 10,land transport EV,
Load,AT0 10,low-temperature heat for industry,
Load,AT0 10,rural heat,
Load,AT0 10,urban central heat,
Load,AT0 10,urban decentral heat,
Load,AT0 11,H2 for industry,
Load,AT0 11,agriculture electricity,
Load,AT0 11,agriculture heat,
Load,AT0 11,electricity,
Load,AT0 11,industry electricity,
Load,AT0 11,land transport EV,
Load,AT0 11,low-temperature heat for industry,
Load,AT0 11,rural heat,
Load,AT0 11,urban central heat,
Load,AT0 11,urban decentral heat,
Load,AT0 12,H2 for industry,
Load,AT0 12,agriculture electricity,
Load,AT0 12,agriculture heat,
Load,AT0 12,electricity,
Load,AT0 12,industry electricity,
Load,AT0 12,land transport EV,
Load,AT0 12,low-temperature heat for industry,
Load,AT0 12,rural heat,
Load,AT0 12,urban central heat,
Load,AT0 12,urban decentral heat,
Load,AT0 13,H2 for industry,
Load,AT0 13,agriculture electricity,
Load,AT0 13,agriculture heat,
Load,AT0 13,electricity,
Load,AT0 13,industry electricity,
Load,AT0 13,land transport EV,
Load,AT0 13,low-temperature heat for industry,
Load,AT0 13,rural heat,
Load,AT0 13,urban central heat,
Load,AT0 13,urban decentral heat,
Load,AT0 14,H2 for industry,
Load,AT0 14,agriculture electricity,
Load,AT0 14,agriculture heat,
Load,AT0 14,electricity,
Load,AT0 14,industry electricity,
Load,AT0 14,land transport EV,
Load,AT0 14,low-temperature heat for industry,
Load,AT0 14,rural heat,
Load,AT0 14,urban decentral heat,
Load,AT0 15,H2 for industry,
Load,AT0 15,agriculture electricity,
Load,AT0 15,agriculture heat,
Load,AT0 15,electricity,
Load,AT0 15,industry electricity,
Load,AT0 15,land transport EV,
Load,AT0 15,low-temperature heat for industry,
Load,AT0 15,rural heat,
Load,AT0 15,urban decentral heat,
Load,AT0 16,H2 for industry,
Load,AT0 16,agriculture electricity,
Load,AT0 16,agriculture heat,
Load,AT0 16,electricity,
Load,AT0 16,industry electricity,
Load,AT0 16,land transport EV,
Load,AT0 16,low-temperature heat for industry,
Load,AT0 16,rural heat,
Load,AT0 16,urban decentral heat,
Load,AT0 17,H2 for industry,
Load,AT0 17,agriculture electricity,
Load,AT0 17,agriculture heat,
Load,AT0 17,electricity,
Load,AT0 17,industry electricity,
Load,AT0 17,land transport EV,
Load,AT0 17,low-temperature heat for industry,
Load,AT0 17,rural heat,
Load,AT0 17,urban decentral heat,
Load,AT0 18,H2 for industry,
Load,AT0 18,agriculture electricity,
Load,AT0 18,agriculture heat,
Load,AT0 18,electricity,
Load,AT0 18,industry electricity,
Load,AT0 18,land transport EV,
Load,AT0 18,low-temperature heat for industry,
Load,AT0 18,rural heat,
Load,AT0 18,urban central heat,
Load,AT0 18,urban decentral heat,
Load,AT0 19,H2 for industry,
Load,AT0 19,agriculture electricity,
Load,AT0 19,agriculture heat,
Load,AT0 19,electricity,
Load,AT0 19,industry electricity,
Load,AT0 19,land transport EV,
Load,AT0 19,low-temperature heat for industry,
Load,AT0 19,rural heat,
Load,AT0 19,urban central heat,
Load,AT0 19,urban decentral heat,
Load,AT0 2,H2 for industry,
Load,AT0 2,agriculture electricity,
Load,AT0 2,agriculture heat,
Load,AT0 2,electricity,
Load,AT0 2,industry electricity,
Load,AT0 2,land transport EV,
Load,AT0 2,low-temperature heat for industry,
Load,AT0 2,rural heat,
Load,AT0 2,urban central heat,
Load,AT0 2,urban decentral heat,
Load,AT0 20,H2 for industry,
Load,AT0 20,agriculture electricity,
Load,AT0 20,agriculture heat,
Load,AT0 20,electricity,
Load,AT0 20,industry electricity,
Load,AT0 20,land transport EV,
Load,AT0 20,low-temperature heat for industry,
Load,AT0 20,rural heat,
Load,AT0 20,urban central heat,
Load,AT0 20,urban decentral heat,
Load,AT0 21,H2 for industry,
Load,AT0 21,agriculture electricity,
Load,AT0 21,agriculture heat,
Load,AT0 21,electricity,
Load,AT0 21,industry electricity,
Load,AT0 21,land transport EV,
Load,AT0 21,low-temperature heat for industry,
Load,AT0 21,rural heat,
Load,AT0 21,urban central heat,
Load,AT0 21,urban decentral heat,
Load,AT0 22,H2 for industry,
Load,AT0 22,agriculture electricity,
Load,AT0 22,agriculture heat,
Load,AT0 22,electricity,
Load,AT0 22,industry electricity,
Load,AT0 22,land transport EV,
Load,AT0 22,low-temperature heat for industry,
Load,AT0 22,rural heat,
Load,AT0 22,urban decentral heat,
Load,AT0 23,H2 for industry,
Load,AT0 23,agriculture electricity,
Load,AT0 23,agriculture heat,
Load,AT0 23,electricity,
Load,AT0 23,industry electricity,
Load,AT0 23,land transport EV,
Load,AT0 23,low-temperature heat for industry,
Load,AT0 23,rural heat,
Load,AT0 23,urban central heat,
Load,AT0 23,urban decentral heat,
Load,AT0 24,H2 for industry,
Load,AT0 24,agriculture electricity,
Load,AT0 24,agriculture heat,
Load,AT0 24,electricity,
Load,AT0 24,industry electricity,
Load,AT0 24,land transport EV,
Load,AT0 24,low-temperature heat for industry,
Load,AT0 24,rural heat,
Load,AT0 24,urban central heat,
Load,AT0 24,urban decentral heat,
Load,AT0 3,H2 for industry,
Load,AT0 3,agriculture electricity,
Load,AT0 3,agriculture heat,
Load,AT0 3,electricity,
Load,AT0 3,industry electricity,
Load,AT0 3,land transport EV,
Load,AT0 3,low-temperature heat for industry,
Load,AT0 3,rural heat,
Load,AT0 3,urban central heat,
Load,AT0 3,urban decentral heat,
Load,AT0 4,H2 for industry,
Load,AT0 4,agriculture electricity,
Load,AT0 4,agriculture heat,
Load,AT0 4,electricity,
Load,AT0 4,industry electricity,
Load,AT0 4,land transport EV,
Load,AT0 4,low-temperature heat for industry,
Load,AT0 4,rural heat,
Load,AT0 4,urban central heat,
Load,AT0 4,urban decentral heat,
Load,AT0 5,H2 for industry,
Load,AT0 5,agriculture electricity,
Load,AT0 5,agriculture heat,
Load,AT0 5,electricity,
Load,AT0 5,industry electricity,
Load,AT0 5,land transport EV,
Load,AT0 5,low-temperature heat for industry,
Load,AT0 5,rural heat,
Load,AT0 5,urban central heat,
Load,AT0 5,urban decentral heat,
Load,AT0 6,H2 for industry,
Load,AT0 6,agriculture electricity,
Load,AT0 6,agriculture heat,
Load,AT0 6,electricity,
Load,AT0 6,industry electricity,
Load,AT0 6,land transport EV,
Load,AT0 6,low-temperature heat for industry,
Load,AT0 6,rural heat,
Load,AT0 6,urban decentral heat,
Load,AT0 7,H2 for industry,
Load,AT0 7,agriculture electricity,
Load,AT0 7,agriculture heat,
Load,AT0 7,electricity,
Load,AT0 7,industry electricity,
Load,AT0 7,land transport EV,
Load,AT0 7,low-temperature heat for industry,
Load,AT0 7,rural heat,
Load,AT0 7,urban decentral heat,
Load,AT0 8,H2 for industry,
Load,AT0 8,agriculture electricity,
Load,AT0 8,agriculture heat,
Load,AT0 8,electricity,
Load,AT0 8,industry electricity,
Load,AT0 8,land transport EV,
Load,AT0 8,low-temperature heat for industry,
Load,AT0 8,rural heat,
Load,AT0 8,urban central heat,
Load,AT0 8,urban decentral heat,
Load,AT0 9,H2 for industry,
Load,AT0 9,agriculture electricity,
Load,AT0 9,agriculture heat,
Load,AT0 9,electricity,
Load,AT0 9,industry electricity,
Load,AT0 9,land transport EV,
Load,AT0 9,low-temperature heat for industry,
Load,AT0 9,rural heat,
Load,AT0 9,urban central heat,
Load,AT0 9,urban decentral heat,
Load,EU,agriculture machinery oil,
Load,EU,gas for industry,
Load,EU,industry methanol,
Load,EU,kerosene for aviation,
Load,EU,naphtha for industry,
Load,EU,process emissions,
Load,EU,shipping methanol,
Load,EU,solid biomass for industry,
Line,AT0 0,AC,0.12043062192366893
Line,AT0 1,AC,0.12140503271273721
Line,AT0 10,AC,0.36756015621576565
Line,AT0 11,AC,0.18089213896829143
Line,AT0 12,AC,0.06401662521343968
Line,AT0 13,AC,0.32199103692203224
Line,AT0 14,AC,0.08810249643570636
Line,AT0 15,AC,0.1048198449728005
Line,AT0 16,AC,0.06162536595201889
Line,AT0 17,AC,0.1710745844088033
Line,AT0 18,AC,0.17788000869280363
Line,AT0 19,AC,0.08514734841274595
Line,AT0 2,AC,0.034366566920535795
Line,AT0 20,AC,0.1193544406610469
Line,AT0 23,AC,0.059630473784405454
Line,AT0 24,AC,0.31891070809273475
Line,AT0 3,AC,0.47548012226336034
Line,AT0 4,AC,0.12299444577440923
Generator,AT0 0,onwind,3.0416666666666666e-05
Generator,AT0 0,ror,0.10770263157894737
Generator,AT0 0,rural heat vent,0.6200655139370476
Generator,AT0 0,rural solar thermal,
Generator,AT0 0,solar,0.025427446210415296
Generator,AT0 0,solar rooftop,0.0
Generator,AT0 0,solar-hsat,0.0
Generator,AT0 0,urban central heat vent,0.02826526684737657
Generator,AT0 0,urban central solar thermal,
Generator,AT0 0,urban decentral heat vent,0.3330822473973486
Generator,AT0 0,urban decentral solar thermal,
Generator,AT0 1,onwind,
Generator,AT0 1,ror,0.19024033707865168
Generator,AT0 1,rural heat vent,0.671579522086883
Generator,AT0 1,rural solar thermal,
Generator,AT0 1,solar,8.738207667388863e-06
Generator,AT0 1,solar rooftop,0.0
Generator,AT0 1,solar-hsat,0.0
Generator,AT0 1,urban central heat vent,0.8396384938040397
Generator,AT0 1,urban central solar thermal,
Generator,AT0 1,urban decentral heat vent,0.6715567568843616
Generator,AT0 1,urban decentral solar thermal,
Generator,AT0 10,onwind,0.008612499999999999
Generator,AT0 10,ror,0.11142939024390243
