cost,component,location,carrier,0
capital,Generator,AT0 0,onwind,27772758.86809
capital,Generator,AT0 0,ror,5855237.06617
capital,Generator,AT0 0,rural heat vent,0.0
capital,Generator,AT0 0,rural solar thermal,0.4025
capital,Generator,AT0 0,solar,5992041.66842
capital,Generator,AT0 0,solar rooftop,1.89735
capital,Generator,AT0 0,solar-hsat,1.95078
capital,Generator,AT0 0,urban central heat vent,0.0
capital,Generator,AT0 0,urban central solar thermal,0.39219
capital,Generator,AT0 0,urban decentral heat vent,0.0
capital,Generator,AT0 0,urban decentral solar thermal,0.4032
capital,Generator,AT0 1,onwind,0.26608
capital,Generator,AT0 1,ror,54854326.19882
capital,Generator,AT0 1,rural heat vent,0.0
capital,Generator,AT0 1,rural solar thermal,0.43151
capital,Generator,AT0 1,solar,6471328.51281
capital,Generator,AT0 1,solar rooftop,1.39334
capital,Generator,AT0 1,solar-hsat,2.55899
capital,Generator,AT0 1,urban central heat vent,0.0
capital,Generator,AT0 1,urban central solar thermal,0.42844
capital,Generator,AT0 1,urban decentral heat vent,0.0
capital,Generator,AT0 1,urban decentral solar thermal,0.42853
capital,Generator,AT0 10,onwind,2314396.61424
capital,Generator,AT0 10,ror,101079881.98433
capital,Generator,AT0 10,rural heat vent,0.0
capital,Generator,AT0 10,rural solar thermal,0.36896
capital,Generator,AT0 10,solar,4798104.8964
capital,Generator,AT0 10,solar rooftop,1.7816
capital,Generator,AT0 10,solar-hsat,1.94345
capital,Generator,AT0 10,urban central heat vent,0.0
capital,Generator,AT0 10,urban central solar thermal,0.375
capital,Generator,AT0 10,urban decentral heat vent,0.0
capital,Generator,AT0 10,urban decentral solar thermal,0.36666
capital,Generator,AT0 11,onwind,0.4345
capital,Generator,AT0 11,ror,20647414.91753
capital,Generator,AT0 11,rural heat vent,0.0
capital,Generator,AT0 11,rural solar thermal,0.39785
capital,Generator,AT0 11,solar,4809805.71959
capital,Generator,AT0 11,solar rooftop,1.44653
capital,Generator,AT0 11,solar-hsat,2.71753
capital,Generator,AT0 11,urban central heat vent,0.0
capital,Generator,AT0 11,urban central solar thermal,0.39495
capital,Generator,AT0 11,urban decentral heat vent,0.0
capital,Generator,AT0 11,urban decentral solar thermal,0.39498
capital,Generator,AT0 12,onwind,68621854.90592
capital,Generator,AT0 12,ror,54546155.82691
capital,Generator,AT0 12,rural heat vent,0.0
capital,Generator,AT0 12,rural solar thermal,0.35828
capital,Generator,AT0 12,solar,2186885.53081
capital,Generator,AT0 12,solar rooftop,1.79817
capital,Generator,AT0 12,solar-hsat,1.89286
capital,Generator,AT0 12,urban central heat vent,0.0
capital,Generator,AT0 12,urban central solar thermal,0.36106
capital,Generator,AT0 12,urban decentral heat vent,0.0
capital,Generator,AT0 12,urban decentral solar thermal,0.35739
capital,Generator,AT0 13,onwind,5785991.33644
capital,Generator,AT0 13,ror,18490222.31421
capital,Generator,AT0 13,rural heat vent,0.0
capital,Generator,AT0 13,rural solar thermal,0.41585
capital,Generator,AT0 13,solar,2559162.00552
capital,Generator,AT0 13,solar rooftop,1.50779
capital,Generator,AT0 13,solar-hsat,1.98953
capital,Generator,AT0 13,urban central heat vent,0.0
capital,Generator,AT0 13,urban central solar thermal,0.412
capital,Generator,AT0 13,urban decentral heat vent,0.0
capital,Generator,AT0 13,urban decentral solar thermal,0.41577
capital,Generator,AT0 14,onwind,3703034.31549
capital,Generator,AT0 14,ror,130510152.50111
capital,Generator,AT0 14,rural heat vent,0.0
capital,Generator,AT0 14,rural solar thermal,0.35531
capital,Generator,AT0 14,solar,3741876.69384
capital,Generator,AT0 14,solar rooftop,1.53096
capital,Generator,AT0 14,solar-hsat,1.95286
capital,Generator,AT0 14,urban decentral heat vent,0.0
capital,Generator,AT0 14,urban decentral solar thermal,0.35249
capital,Generator,AT0 15,onwind,3008715.49945
capital,Generator,AT0 15,ror,84130511.52964
capital,Generator,AT0 15,rural heat vent,0.0
capital,Generator,AT0 15,rural solar thermal,0.36489
capital,Generator,AT0 15,solar,2018765.71243
capital,Generator,AT0 15,solar rooftop,1.16785
capital,Generator,AT0 15,solar-hsat,1.92993
capital,Generator,AT0 15,urban decentral heat vent,0.0
capital,Generator,AT0 15,urban decentral solar thermal,0.36272
capital,Generator,AT0 16,onwind,0.35724
capital,Generator,AT0 16,ror,24653629.75228
capital,Generator,AT0 16,rural heat vent,0.0
capital,Generator,AT0 16,rural solar thermal,0.40994
capital,Generator,AT0 16,solar,5128124.47357
capital,Generator,AT0 16,solar rooftop,1.31309
capital,Generator,AT0 16,solar-hsat,1.99317
capital,Generator,AT0 16,urban decentral heat vent,0.0
capital,Generator,AT0 16,urban decentral solar thermal,0.40724
capital,Generator,AT0 17,onwind,6711750.36752
capital,Generator,AT0 17,rural heat vent,0.0
capital,Generator,AT0 17,rural solar thermal,0.356
capital,Generator,AT0 17,solar,4210727.92159
capital,Generator,AT0 17,solar rooftop,1.42512
capital,Generator,AT0 17,solar-hsat,1.93284
capital,Generator,AT0 17,urban decentral heat vent,0.0
capital,Generator,AT0 17,urban decentral solar thermal,0.35459
capital,Generator,AT0 18,onwind,0.37753
capital,Generator,AT0 18,ror,87236982.36467
capital,Generator,AT0 18,rural heat vent,0.0
capital,Generator,AT0 18,rural solar thermal,0.39567
capital,Generator,AT0 18,solar,2921487.41228
capital,Generator,AT0 18,solar rooftop,1.43894
capital,Generator,AT0 18,solar-hsat,2.01285
